"","run","sv_x","sv_y","sv_z","nv_x","nv_y","nv_z","hp_x","hp_y","hp_z","sp_x","sp_y","sp_z","Collision_speed","X","Y","Z","head","inc","speed","rotation","lag","seal_length","seal_width"
"100",3116,0,1.81876218318939,0,-5.90547943115234,0,-6.37544536590576,-10.9139385223389,0.0644235610961914,-4.89507484436035,-11,0.0306322332471609,-5,8.87856340732394,-1,-11,-5,0,0,1.82,0.72780229725,2.5899,1.41,0.3
"101",3117,0,1.81876218318939,0,8.70081901550293,0,-1.74758565425873,-11.0210428237915,-0.295562028884888,-5.26740026473999,-11,-0.181556686758995,-5,9.05904000101418,-1,-11,-5,0,0,1.82,0.72780229725,2.76256,1.41,0.3
"102",3118,0,1.81876218318939,0,-2.70239472389221,0,8.43132400512695,-11.1042203903198,0.0846353024244308,-5.02073001861572,-11,-0.0906185805797577,-5,9.03869790386242,-1,-11,-5,0,0,1.82,0.72780229725,2.93522,1.41,0.3
"103",3119,0,1.81876218318939,0,-5.94641542434692,0,-6.455322265625,-11.0330829620361,0.00476492615416646,-4.92012929916382,-11,0.333759307861328,-5,8.9631989875529,-1,-11,-5,0,0,1.82,0.72780229725,3.10788,1.41,0.3
"104",3123,0,1.81876218318939,0,-2.7789740562439,0,8.38549423217773,-11.0296964645386,0.415881603956223,-5.11784648895264,-11,-0.0906185805797577,-5,9.01926303760462,-1,-11,-5,0,0,1.82,0.72780229725,3.79852,1.41,0.3
"105",3130,0,1.81876218318939,0,8.62855815887451,0,-1.88687860965729,-11.0982151031494,-0.380088806152344,-4.96238231658936,-11,-0.514996528625488,-5,9.01777275590922,-1,-11,-5,0,0,1.82,0.72780229725,5.00714,1.41,0.3
"106",3138,0,1.81876218318939,0,-2.71221137046814,0,8.34767818450928,-10.9843797683716,1.18543708324432,-5.02957916259766,-11,-0.0906185805797577,-5,8.96368883460235,-1,-11,-5,0,0,1.82,0.72780229725,6.38842,1.41,0.3
"107",3141,0,1.81876218318939,0,-5.93748807907104,0,-6.59189081192017,-11.1289749145508,0.0569464229047298,-5.02565431594849,-11,0.000319529324769974,-5,9.05619604596164,-1,-11,-5,0,0,1.82,0.72780229725,6.9064,1.41,0.3
"108",3143,0,1.81876218318939,0,-2.72389006614685,0,8.44182109832764,-11.1066579818726,-0.0181839726865292,-5.07050228118896,-11,-0.0906185805797577,-5,9.05493325664371,-1,-11,-5,0,0,1.82,0.72780229725,7.25172,1.41,0.3
"109",3146,0,1.81876218318939,0,8.6076774597168,0,-1.79322874546051,-10.9897499084473,0.139166742563248,-5.06815767288208,-11,-0.514996528625488,-5,8.97862322255112,-1,-11,-5,0,0,1.82,0.72780229725,7.7697,1.41,0.3
